Rk,Team,GP,G,GA,Sh,Sh%,ShA,SV%,PP%,PK%,SHG,SHGA,FO%,PIM,G/G,GA/G,S/G,SA/G,PIM/G,Age,Ht,Wt
1,Air Force,36,90,92,1045,8.6,936,0.902,20.9,88.9,2,5,54.8,388,2.5,2.6,29,26,10.8,22.5,5-11.9,182.8
2,Alabama-Huntsville,38,67,129,817,8.2,1358,0.905,12.3,80.5,2,1,44.6,505,1.8,3.4,21.5,35.7,13.3,22.5,5-10.8,178.6
3,Alaska,36,72,114,920,7.8,1134,0.899,14.7,79.2,0,7,48.9,699,2,3.2,25.6,31.5,19.4,22.1,5-11.1,189
4,Alaska-Anchorage,34,40,115,757,5.3,1078,0.893,10.7,76.5,1,3,44,462,1.2,3.4,22.3,31.7,13.6,22.9,5-11.6,184.5
5,American Int'l,41,129,119,1142,11.3,1072,0.889,18.7,80.9,1,7,50.9,421,3.1,2.9,27.9,26.1,10.3,22.6,6-0.5,189.1
6,Arizona State,35,109,86,1036,10.5,1117,0.923,15.1,86.6,5,2,48.1,530,3.1,2.5,29.6,31.9,15.1,22.1,6-0.8,192.4
7,Army,39,94,117,1144,8.2,1064,0.89,24.4,81.1,4,3,47.5,429,2.4,3,29.3,27.3,11,22.6,5-11.6,185.5
8,Bemidji State,38,95,94,1131,8.4,959,0.902,13.9,85.5,3,6,47.8,363,2.5,2.5,29.8,25.2,9.6,22.5,5-11.3,189.8
9,Bentley,37,113,98,952,11.9,1021,0.904,17.5,78.9,2,2,48.7,400,3.1,2.6,25.7,27.6,10.8,22.1,5-11.9,187.7
10,Boston College,39,90,110,1171,7.7,1180,0.907,19,81.9,3,3,51.8,364,2.3,2.8,30,30.3,9.3,20.1,6-0.4,189
11,Boston University,38,99,104,1168,8.5,1278,0.919,19,84.3,11,0,48.2,478,2.6,2.7,30.7,33.6,12.6,20.6,6-0.5,185.8
12,Bowling Green,41,133,75,1280,10.4,1034,0.927,19.7,88.6,9,1,48,592,3.2,1.8,31.2,25.2,14.4,21.9,6-0.4,185.1
13,Brown,34,89,97,1000,8.9,1022,0.905,12.4,81.2,4,4,48.4,337,2.6,2.9,29.4,30.1,9.9,22,5-11.7,187.2
14,Canisius,37,103,133,1030,10,1188,0.888,20.1,74.8,3,4,46.8,443,2.8,3.6,27.8,32.1,12,22.7,6-0.2,188.2
15,Clarkson,39,122,78,1075,11.3,1063,0.927,20.9,86.5,3,1,50,363,3.1,2,27.6,27.3,9.3,21.11,6-0.2,191.9
